Wikidata ID,SNARC ID
Q570116,Q9918
Q570600,Q10128
Q575759,Q10349
Q585490,Q9939
Q589282,Q10021
Q581776,Q117629
Q497893,Q133621
Q627006,Q47
Q623605,Q9795
Q618123,Q9926
Q607241,Q10302
Q699405,Q9863
Q695850,Q10165
Q702492,Q10185
Q661513,Q48
Q630638,Q8590
Q683738,Q8599
Q667276,Q9727
Q637776,Q9857
Q655686,Q9772
Q659396,Q9867
Q628155,Q10096
Q647704,Q10031
Q634961,Q10123
Q631305,Q10154
Q622425,Q10220
Q654772,Q10130
Q657100,Q10137
Q618779,Q10330
Q681337,Q10083
Q685204,Q10068
Q621114,Q10392
Q624114,Q10405
Q656720,Q10385
Q670265,Q131817
Q672070,Q133632
Q708676,Q9761
Q693369,Q10243
Q697295,Q106080
Q701632,Q133665
Q682943,Q10217
Q718966,Q9998
Q712868,Q10066
Q811979,Q9783
Q798436,Q10135
Q785745,Q106089
Q209465,Q9715
Q212198,Q9800
Q207320,Q133598
Q207694,Q133678
Q738570,Q9759
Q740752,Q9753
Q740326,Q9912
Q744099,Q9934
Q728937,Q10015
Q726870,Q10207
Q736917,Q10388
Q740445,Q10025
Q751876,Q10234
Q742421,Q133635
Q775129,Q10067
Q763590,Q106137
Q759534,Q117628
Q748019,Q133608
Q748822,Q133624
Q783794,Q57300
Q784159,Q106086
Q781132,Q133694
Q813966,Q9732
Q804292,Q9976
Q805353,Q10012
Q811177,Q10088
Q811534,Q10194
Q921099,Q9743
Q918088,Q10315
Q918230,Q106071
Q939644,Q10404
Q941501,Q106013
Q830528,Q10050
Q820477,Q10275
Q831515,Q10258
Q828909,Q10383
Q819426,Q106122
Q959309,Q9799
Q948878,Q10003
Q952443,Q10051
Q952885,Q10296
Q944588,Q106078
Q939871,Q133577
Q839954,Q9713
Q829080,Q133626
Q114768,Q9888
Q106259,Q10306
Q109607,Q10336
Q107679,Q10390
Q107390,Q44964
Q967098,Q9844
Q961082,Q10402
Q955824,Q133575
Q123705,Q8581
Q838858,Q9764
Q847950,Q9862
Q837142,Q10262
Q840482,Q10265
Q846659,Q10399
Q847017,Q10479
Q852190,Q117598
Q214252,Q10004
Q210999,Q10313
Q211606,Q10435
Q986172,Q9953
Q966002,Q10214
Q131734,Q9744
Q124282,Q9860
Q131681,Q9822
Q124714,Q106079
Q216107,Q9859
Q219538,Q9843
Q219423,Q9902
Q213441,Q10354
Q218653,Q10393
Q219577,Q133733
Q1006733,Q9889
Q1007870,Q9965
Q131596,Q9873
Q132241,Q9874
Q131186,Q10240
Q131263,Q106039
Q1059324,Q51
Q1080794,Q52
Q1061151,Q8592
Q1048525,Q9887
Q1061002,Q9906
Q1068842,Q9877
Q1103285,Q9767
Q1107656,Q9884
Q1049792,Q10334
Q1060829,Q10286
Q1076052,Q10290
Q1078765,Q10322
Q1066997,Q10382
Q1076486,Q10350
Q1074523,Q10391
Q1072166,Q10401
Q1061197,Q133699
Q1015644,Q10168
Q1016853,Q117604
Q1115575,Q10198
Q149621,Q8589
Q143912,Q9725
Q133056,Q10280
Q134447,Q10289
Q134574,Q10317
Q142031,Q10325
Q132510,Q106049
Q150784,Q9751
Q149566,Q10271
Q146728,Q10380
Q1112477,Q10326
Q1127126,Q133633
Q1138671,Q53
Q1143635,Q54
Q1137272,Q8600
Q1138494,Q9661
Q1128397,Q9777
Q1154710,Q9703
Q1137809,Q9814
Q1131329,Q10132
Q1143785,Q10100
Q1137365,Q10134
Q1148389,Q10107
Q1151014,Q10164
Q1136601,Q47882
Q1129743,Q106083
Q1144991,Q133653
Q1321960,Q55
Q1336920,Q56
Q1330749,Q9931
Q1033904,Q8591
Q1030403,Q9979
Q1021645,Q10293
Q1021711,Q10343
Q1035294,Q106036
Q1335652,Q10036
Q1339195,Q10080
Q1328899,Q133706
Q1378975,Q9776
Q1359152,Q9997
Q1371047,Q9995
Q1362225,Q10098
Q1372205,Q10199
Q1371037,Q10231
Q1342377,Q106037
Q1349587,Q106044
Q1357601,Q106091
Q1368573,Q117632
Q1391145,Q133714
Q1414991,Q9944
Q1404150,Q10026
Q1399576,Q106062
Q1202402,Q9794
Q1195942,Q9875
Q1190554,Q9948
Q1195098,Q9928
Q1248784,Q9720
Q1193753,Q9959
Q1188673,Q10110
Q1210950,Q10020
Q1220959,Q9999
Q1172599,Q106128
Q1198413,Q106042
Q1233637,Q106124
Q1194093,Q133726
Q1236923,Q133680
Q1244860,Q9886
Q1244442,Q10341
Q1567913,Q10044
Q1570262,Q10063
Q1571667,Q10108
Q1577547,Q10093
Q1587716,Q10375
Q1584134,Q106052
Q1440300,Q9705
Q1454583,Q10113
Q1474414,Q10175
Q1477476,Q10208
Q1478783,Q10223
Q1493752,Q10229
Q1468524,Q10394
Q1469824,Q106029
Q1402592,Q106098
Q1417573,Q106140
Q1490797,Q117603
Q1395324,Q133615
Q1410110,Q133652
Q1445536,Q133675
Q1438040,Q133723
Q1303167,Q9731
Q1250464,Q10042
Q1265665,Q10014
Q1291195,Q117610
Q1254874,Q133634
Q1280834,Q133656
Q1509716,Q9714
Q1497375,Q9825
Q1497483,Q10052
Q1506469,Q10225
Q1520439,Q10397
Q1523924,Q117620
Q1530022,Q133591
Q1318768,Q10120
Q1307276,Q10213
Q1295201,Q106047
Q1311958,Q106088
Q1663017,Q57
Q1662011,Q9898
Q1664720,Q10007
Q1651566,Q10109
Q1640361,Q10189
Q1630622,Q106066
Q1572070,Q133645
Q1616075,Q133637
Q1622062,Q133630
Q1820704,Q117605
Q2094158,Q9845
Q2085381,Q10179
Q2249932,Q8602
Q2143825,Q9908
Q2122214,Q10226
Q2190251,Q9962
Q2175765,Q10058
Q2116321,Q10398
Q2221906,Q9984
Q2207370,Q10069
Q2232001,Q10160
Q2231510,Q10176
Q2243978,Q10233
Q2249754,Q10386
Q2230328,Q117616
Q2116450,Q134684
Q1857731,Q1121
Q1681353,Q9739
Q1701174,Q9969
Q1680993,Q10091
Q1656682,Q10448
Q1713379,Q10215
Q1802963,Q9829
Q1763828,Q10033
Q1785071,Q10155
Q1753764,Q10327
Q1662100,Q106111
Q1741939,Q106043
Q1777138,Q106123
Q1652352,Q117613
Q1666019,Q133611
Q1668024,Q133654
Q1685451,Q133604
Q1700154,Q133720
Q1762059,Q133640
Q1769139,Q133629
Q1785733,Q133667
Q2293362,Q9833
Q2319498,Q9901
Q2315928,Q9990
Q2309609,Q10029
Q2304397,Q10162
Q2259176,Q106084
Q2330559,Q106130
Q1898357,Q58
Q1972829,Q59
Q1935728,Q9806
Q1923257,Q9996
Q1961493,Q9951
Q1930585,Q10149
Q1899015,Q133693
Q1917775,Q133638
Q1916382,Q133722
Q2630741,Q8593
Q2550929,Q10010
Q2538889,Q133677
Q2385804,Q38
Q2368963,Q106142
Q2373919,Q106125
Q2341654,Q117615
Q2325038,Q133619
Q848944,Q133035
Q2046325,Q9811
Q2022036,Q10232
Q1968122,Q133650
Q1976354,Q133627
Q1966910,Q133707
Q2400020,Q10102
Q2418495,Q10053
Q2401749,Q133725
Q2668072,Q10460
Q2749813,Q10099
Q2750108,Q10311
Q2608849,Q133698
Q2738074,Q133616
Q860861,Q9808
Q853854,Q10059
Q847301,Q133651
Q866742,Q10112
Q856584,Q10257
Q868557,Q10285
Q863454,Q10304
Q861951,Q10307
Q856234,Q106048
Q856564,Q133580
Q865588,Q133602
Q860572,Q133664
Q2467461,Q60
Q2430594,Q10156
Q2496264,Q10203
Q2460422,Q106070
Q2485448,Q133605
Q2495568,Q133732
Q2046310,Q9938
Q2080521,Q9950
Q3024240,Q8594
Q2940297,Q10224
Q2974842,Q10158
Q3044808,Q10509
Q2897058,Q106093
Q2918952,Q106106
Q2986735,Q133676
Q3257686,Q8603
Q3238851,Q10054
Q3241565,Q10188
Q3253281,Q10308
Q875538,Q49
Q902104,Q50
Q879050,Q9830
Q875157,Q10173
Q892168,Q10121
Q875016,Q10335
Q879146,Q133618
Q877998,Q133643
Q895526,Q133587
Q891723,Q133691
Q3078732,Q10034
Q3082251,Q10084
Q3095365,Q10087
Q3457526,Q9985
Q3499307,Q10235
Q3515239,Q10395
Q3408055,Q106110
Q3446003,Q106121
Q3432586,Q117614
Q3126170,Q10095
Q3146899,Q10163
Q3184407,Q10125
Q3152824,Q10445
http://www.wikidata.org/entityQ7725634,Q50118
Q198,Q97478
Q165,Q97487
Q4671277,Q10190
Q3661265,Q9802
Q3681673,Q9801
Q3543043,Q106095
Q3586152,Q133697
Q3689421,Q133684
Q4431094,Q10256
Q4663385,Q9975
Q3395377,Q10016
Q3240227,Q106067
Q3238833,Q106139
Q3393392,Q106113
Q3238445,Q133708
Q3336962,Q133710
Q3343298,Q133734
Q4919932,Q9980
Q4801521,Q9728
Q4830453,Q9748
Q4835091,Q9815
Q4808723,Q10011
Q3840711,Q10227
Q3898745,Q10222
Q4034417,Q9717
Q3997382,Q10089
Q4287745,Q9988
Q4358176,Q133586
Q4938356,Q10127
Q4976993,Q8604
Q5004679,Q9907
Q4989906,Q10278
Q5031071,Q106068
Q5003624,Q10269
Q4868359,Q106126
Q5073136,Q9847
Q5069563,Q9960
Q5116768,Q9792
Q5177802,Q9992
Q5177943,Q10038
Q5154611,Q8595
Q5162904,Q10049
Q5156823,Q106101
Q5163231,Q133659
Q5195043,Q9741
Q5227650,Q117617
Q5282763,Q10045
Q5307555,Q106092
Q5383482,Q9974
Q5375483,Q10023
Q5367899,Q10239
Q5433332,Q133606
Q5419285,Q133717
Q5504247,Q9763
Q5527082,Q10079
Q5586875,Q9805
Q5916251,Q133636
Q5783996,Q9779
Q5739135,Q9971
Q5784097,Q9897
Q5773747,Q9989
Q5783893,Q10000
Q5774403,Q133607
Q6510130,Q10180
Q6500733,Q10310
Q6558431,Q9768
Q6583066,Q10186
Q6528244,Q133603
Q6589202,Q133704
Q6664153,Q10169
Q6815495,Q9786
Q6815100,Q133727
Q6864436,Q117622
Q6881511,Q133695
Q6974560,Q10028
Q7080201,Q106100
Q7094057,Q133724
Q7137435,Q133669
Q7138926,Q10153
Q7210356,Q133583
Q7239308,Q10002
Q7315155,Q10238
Q7300165,Q106063
Q7260658,Q10210
Q7269229,Q135104
Q7335033,Q9956
Q7321974,Q9932
Q7361709,Q106073
Q7362268,Q135148
Q7373622,Q10150
Q7372078,Q10396
Q7380572,Q133600
Q7419624,Q10138
Q7493941,Q10136
Q7540126,Q9798
Q7579839,Q9970
Q7631964,Q133671
Q7708430,Q133597
Q7800783,Q106103
Q7830212,Q10159
Q7833250,Q10228
Q7814332,Q10364
Q7835189,Q133657
Q7925010,Q9920
Q7963015,Q10078
Q7981128,Q10124
Q7981903,Q10212
Q8034980,Q10106
Q8719053,Q10040
Q9158768,Q10103
Q9332842,Q10481
Q10373548,Q10147
Q10480682,Q9871
Q10283556,Q106129
Q10564300,Q9790
Q10521078,Q10174
Q10565770,Q10141
Q10832530,Q9899
Q10505824,Q106085
Q11880367,Q9852
Q11900212,Q10249
Q11822917,Q106120
Q11946645,Q133688
Q11424753,Q9986
Q11483816,Q10515
Q11606300,Q10046
Q11734477,Q10206
Q11396401,Q106138
Q11294827,Q133721
Q11997323,Q9927
Q12020836,Q9890
Q12046110,Q9929
Q12104567,Q9818
Q12043672,Q10205
Q12146012,Q106132
Q12160242,Q133655
Q12292478,Q8596
Q12859788,Q117602
Q12737077,Q63
Q12324798,Q10244
Q13127000,Q9942
Q13126836,Q106074
Q13127737,Q9925
Q13127659,Q9957
Q13164546,Q9718
Q13218805,Q10300
Q13231467,Q10403
Q13226383,Q10465
Q13360578,Q10065
Q13402009,Q10072
Q13405588,Q106109
Q13132631,Q9823
Q13883136,Q9881
Q14500296,Q106114
Q14037025,Q133648
Q14752696,Q9915
Q14911880,Q10363
Q13433827,Q74530
Q15042037,Q9921
Q15090615,Q10039
Q15115254,Q10250
Q15265344,Q10493
Q15303456,Q9909
Q15411381,Q10230
Q15513569,Q117611
Q15548045,Q9721
Q15640053,Q9966
Q15711797,Q133686
Q15902866,Q9977
Q15911738,Q10209
Q15979307,Q8597
Q15925165,Q133641
Q15994170,Q133646
Q16334295,Q10456
Q16519632,Q133625
Q16528361,Q134686
Q16748868,Q9766
Q16764598,Q9826
Q16659609,Q9788
Q16831714,Q9804
